City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bintulu,MY,84.61,few clouds,3.1667,113.0333,900 Boutique INN
3,Rikitea,PF,77.76,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Touros,BR,76.84,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
5,Ternate,ID,83.12,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
6,Byron Bay,AU,78.71,broken clouds,-28.65,153.6167,Backpackers Inn
9,Kavaratti,IN,82.51,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
11,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Calabozo,VE,89.62,overcast clouds,8.9242,-67.4293,Hotel Giardini
23,Neiafu,TO,84.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
25,Atuona,PF,79.88,few clouds,-9.8,-139.0333,Villa Enata
28,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,West Bay,KY,80.67,few clouds,19.3667,-81.4167,Calypso Cove
41,Kavieng,PG,84.4,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
43,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
48,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
55,Ladario,BR,76.53,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
57,Hithadhoo,MV,82.81,clear sky,-0.6,73.0833,Scoop Guest House
60,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
63,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
69,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
70,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
80,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
81,Waw,SS,77.56,broken clouds,7.7029,27.9953,Universal Gab Hotel
88,Bandarbeyla,SO,75.69,clear sky,9.4942,50.8122,JABIR HOTEL
100,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
108,Caravelas,BR,76.57,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
112,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
116,Kalmunai,LK,79.56,overcast clouds,7.4167,81.8167,VS Villa
118,Susangerd,IR,78.15,overcast clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
119,Bilma,NE,82.27,clear sky,18.6853,12.9164,Expeditions Ténére voyages
121,Amahai,ID,84.15,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
122,Gold Coast,AU,82.17,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
124,Arraial Do Cabo,BR,76.33,clear sky,-22.9661,-42.0278,Pousada Porto Praia
134,Dingle,PH,85.35,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
136,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
138,Puerto Madero,MX,82.6,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
141,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
147,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
148,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
155,Cocobeach,GA,79.56,broken clouds,1.0002,9.5823,Hotel Esperance
157,Yanam,IN,82.62,overcast clouds,16.7333,82.2167,The Regency Hotel
158,Pindwara,IN,79.81,clear sky,24.8,73.0667,King Hotal Veg and Nonveg
