City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Country,Date
0,Longyearbyen,78.2186,15.6401,8.44,52,20,26.46,few clouds,SJ,2022-04-04 03:32:23
1,Blackwater,-23.5833,148.8833,90.32,36,23,6.26,few clouds,AU,2022-04-04 03:32:23
2,Albany,42.6001,-73.9662,37.02,89,100,7.0,overcast clouds,US,2022-04-04 03:32:24
3,Bull Savanna,17.8868,-77.5902,73.6,84,22,5.32,few clouds,JM,2022-04-04 03:30:22
4,Busselton,-33.65,115.3333,72.41,42,8,12.82,clear sky,AU,2022-04-04 03:32:24
5,Cape Town,-33.9258,18.4232,57.9,84,0,5.75,clear sky,ZA,2022-04-04 03:27:48
6,Bredasdorp,-34.5322,20.0403,57.78,92,13,5.19,few clouds,ZA,2022-04-04 03:32:25
7,Marzuq,14.4,46.4667,72.25,23,7,0.98,clear sky,YE,2022-04-04 03:32:25
8,Kavieng,-2.5744,150.7967,84.65,68,100,6.85,overcast clouds,PG,2022-04-04 03:29:04
9,Avera,33.194,-82.5271,55.38,50,0,6.87,clear sky,US,2022-04-04 03:32:26
10,Zalantun,48.0,122.7167,53.71,24,100,7.99,overcast clouds,CN,2022-04-04 03:32:26
11,Fort Morgan,40.2503,-103.8,45.82,39,0,5.75,clear sky,US,2022-04-04 03:32:26
12,Waipawa,-41.4122,175.5153,64.51,69,3,4.36,clear sky,NZ,2022-04-04 03:32:27
13,Morant Bay,17.8815,-76.4093,80.22,86,43,5.99,scattered clouds,JM,2022-04-04 03:32:27
14,Ostrovnoy,68.0531,39.5131,14.95,94,90,7.49,overcast clouds,RU,2022-04-04 03:32:27
15,Punta Arenas,-53.15,-70.9167,39.31,81,40,24.16,light rain,CL,2022-04-04 03:32:28
16,Hermanus,-34.4187,19.2345,54.81,83,3,4.61,clear sky,ZA,2022-04-04 03:32:28
17,Hilo,19.7297,-155.09,76.73,80,100,8.05,overcast clouds,US,2022-04-04 03:32:28
18,Amapa,1.0,-52.0,71.71,99,100,1.86,overcast clouds,BR,2022-04-04 03:32:29
19,Georgetown,5.4112,100.3354,85.95,78,20,5.75,few clouds,MY,2022-04-04 03:30:24
20,Leningradskiy,69.3833,178.4167,-5.8,90,100,4.18,overcast clouds,RU,2022-04-04 03:30:20
21,Nishihara,26.1842,127.7558,71.65,55,75,18.41,broken clouds,JP,2022-04-04 03:32:29
22,Nouna,12.7333,-3.8667,87.08,34,95,4.99,overcast clouds,BF,2022-04-04 03:32:29
23,Mahebourg,-20.4081,57.7,81.25,83,75,12.66,broken clouds,MU,2022-04-04 03:32:30
24,Krasnoarmeysk,51.0239,45.6969,44.64,84,99,22.5,light rain,RU,2022-04-04 03:32:30
25,Beloha,-25.1667,45.05,71.01,91,2,7.94,clear sky,MG,2022-04-04 03:32:30
26,Dikson,73.5069,80.5464,5.29,91,62,10.27,broken clouds,RU,2022-04-04 03:32:31
27,Chokurdakh,70.6333,147.9167,0.59,88,98,6.67,overcast clouds,RU,2022-04-04 03:32:31
28,Yerbogachen,61.2767,108.0108,17.47,84,100,10.25,light snow,RU,2022-04-04 03:32:31
29,Yellowknife,62.456,-114.3525,19.92,63,20,18.41,few clouds,CA,2022-04-04 03:32:32
30,Akyab,20.15,92.9,83.79,69,23,7.49,few clouds,MM,2022-04-04 03:32:32
31,Cidreira,-30.1811,-50.2056,68.0,96,100,9.86,moderate rain,BR,2022-04-04 03:32:32
32,Rikitea,-23.1203,-134.9692,77.81,64,91,9.86,overcast clouds,PF,2022-04-04 03:32:33
33,Mataura,-46.1927,168.8643,66.61,45,29,2.73,scattered clouds,NZ,2022-04-04 03:32:33
34,Teguise,29.0605,-13.564,55.62,88,0,8.05,clear sky,ES,2022-04-04 03:32:33
